d_sh_empl,d_sh_empl_mfg,d_sh_empl_nmfg,shock,IV,weights,statefip,czone,t2,l_shind_manuf_cbp,l_sh_popedu_c,l_sh_popfborn,l_sh_empl_f,l_sh_routine33,l_task_outsource,division
-1.3954401,-2.8961406,1.5007019,0.643649637023248,0.927684383993881,0.0019710832,28,3003,FALSE,17.674633,50.274033,1.5682999,63.429611,34.667732,0.056881011,6
1.4251292,-1.5902147,3.0153453,0.758193403823347,1.44722183659481,3.9738516e-4,28,3101,FALSE,32.429279,34.988033,0.79991204,48.690147,26.121477,-0.72803736,6
1.6379714,-2.1561294,3.7941008,0.60320210253286,1.5729797645083,1.6997677e-4,28,3102,FALSE,27.74378,34.972973,0.73022079,48.868877,26.24918,-0.72190994,6
3.5716593,0.10110736,3.4705491,0.617634324311875,1.97070002507612,8.6978078e-5,22,3201,FALSE,21.627464,26.317158,2.1600728,46.013523,23.826195,-1.336055,7
2.6784062,-1.0796354,3.7580431,0.437547346053222,0.238127182849931,2.7540314e-4,28,3202,FALSE,18.669085,31.85586,1.0761225,47.826492,25.392632,-0.89710617,6
-2.4123967,-0.43969899,-1.9726992,2.19401928400751,0.68044831367331,3.2269341e-4,28,3203,FALSE,24.629971,41.99435,1.0480708,53.583527,30.905819,-0.15474804,6
1.8062413,-0.97756124,2.7837992,0.185299674836684,0.357488425850905,0.0053562094,22,3300,FALSE,11.025517,44.950359,5.3512669,56.249706,32.218079,0.074786544,7
3.9508164,-0.1657024,4.1165171,0.110049061122715,0.21953195201356,0.0010735126,22,3400,FALSE,12.756493,24.615076,1.8382343,44.576126,25.391605,-0.78580678,7
2.6329517,-1.30551,3.9384604,0.374545975136677,0.478902223335934,0.0028912334,22,3500,FALSE,13.449264,44.068623,2.7065883,54.791756,30.143965,-0.2499488,7
2.961129,-0.11981949,3.0809462,0.196579002603412,0.281885506114889,7.3341187e-4,22,3600,FALSE,13.254112,35.093292,2.4329243,51.931145,27.134054,-1.1188017,7
1.6364813,-2.0482025,3.6846817,0.35670990060449,0.394033169781883,0.0012643745,22,3700,FALSE,19.286303,32.817814,1.5488646,48.977165,25.263123,-1.1048514,7
3.175956,-1.4970232,4.6729803,0.209437180320761,0.531666970067387,0.0020241509,22,3800,FALSE,13.93942,31.784201,2.0892422,48.830719,28.132174,-0.36747223,7
3.1168163,-0.90771389,4.0245352,0.294686022104615,0.646258106786292,9.9407462e-4,22,3901,FALSE,19.016617,38.559044,1.1976614,51.843834,29.021145,-0.48645571,7
3.3744395,-1.3947219,4.7691612,2.11213607156302,-0.467242923153732,8.7799126e-5,22,3902,FALSE,21.275045,26.903736,0.38452691,45.905251,24.193882,-0.818739,7
-0.10271668,0.51195621,-0.6146729,1.7489800412348,1.1085499068429,1.432514e-4,5,4001,FALSE,39.223282,33.440884,1.1932231,57.877701,28.890953,-0.46847287,7
1.891619,-0.94421136,2.835834,1.14596551141492,0.818421794327408,0.0019461918,22,4002,FALSE,19.507231,43.319778,2.1491575,55.721039,30.697071,-0.50890887,7
2.8936684,-0.88650215,3.7801714,0.794438339472189,0.56637151427528,2.9151037e-4,22,4003,FALSE,23.157608,33.385262,1.3902372,46.940445,25.476969,-0.99279851,7
2.5413394,-0.94335747,3.4846961,1.44120348299861,1.08654275382549,9.2309332e-5,22,4004,FALSE,37.342106,38.049232,1.4908639,47.607109,26.496965,-0.93670893,7
-0.24529099,-3.7628384,3.5175471,1.061793850794,1.43893772989674,9.8264347e-5,5,4101,FALSE,55.412846,28.117538,0.8320272,53.00507,24.892763,-0.54351616,7
0.90882182,-1.8906504,2.7994723,0.869009749697274,0.866382992340249,6.8730436e-4,5,4102,FALSE,32.02977,32.12048,0.82232869,54.838799,26.01132,-0.55780357,7
-1.1176646,0.84284544,-1.96051,1.45235973419293,1.35811860756362,3.7515449e-4,5,4103,FALSE,39.897427,35.305687,0.99677604,58.076267,29.586353,-0.39491829,7
-0.061690807,-2.4116099,2.3499191,1.35286430270084,1.12458877884076,0.0022383709,5,4200,FALSE,16.185865,47.186581,2.412225,65.601135,32.507957,-0.11568457,7
0.16868711,-3.1814024,3.3500881,6.22040868384502,1.12537782530245,1.7143115e-4,5,4301,FALSE,35.362495,34.394909,1.1926771,56.922661,27.49494,-0.42650253,7
1.0461986,-3.2483311,4.2945294,1.79805690926982,1.3457911913498,3.3444277e-4,5,4302,FALSE,31.425121,29.577429,1.2008098,56.003166,29.844904,-0.55516893,7
1.6703904,0.654719,1.0156721,0.275489603851129,0.89895442762483,5.1251648e-4,21,4401,FALSE,18.791716,21.685249,0.48682019,42.380188,27.378384,-0.79947418,6
